mname,avg_distance_2000,avg_distance_2019,max_distance_2000,max_distance_2019,num_above_100,num_above_75,num_above_50
Hultsfreds kommun,54.41460840194216,54.41460840194216,71,71,0,0,11231
Hylte kommun,37.995143782136736,39.52866120738907,48,48,0,0,0
Järfälla kommun,12.431059887665036,12.431059887665036,17,17,0,0,0
Jokkmokks kommun,70.25318440133255,70.26572604350382,130,130,139,1139,4685
Jönköpings kommun,6.75185620846476,6.75185620846476,43,43,0,0,0
Kalix kommun,6.68444061326273,57.81953081706792,43,78,0,36,14332
Kalmar kommun,5.973615297950731,5.973615297950731,37,37,0,0,0
Karlsborgs kommun,37.88415797973866,37.88415797973866,58,58,0,0,67
Karlshamns kommun,43.54963969917241,43.54963969917241,54,54,0,0,135
Karlskoga kommun,2.2604758404063356,39.96621666778053,21,50,0,0,0
Karlskrona kommun,6.395681532663317,6.395681532663317,36,36,0,0,0
Karlstads kommun,6.3483647121523585,6.3483647121523585,46,46,0,0,0
Katrineholms kommun,42.51841919132382,42.51841919132382,48,48,0,0,0
Kävlinge kommun,12.172204451987728,12.172204451987728,20,20,0,0,0
Kils kommun,21.294234592445328,21.294234592445328,39,39,0,0,0
Kinda kommun,39.76826680141485,39.76826680141485,54,54,0,0,216
Kiruna kommun,12.49212802768166,85.480276816609,126,194,1694,21700,23106
Klippans kommun,29.937679254302104,29.937679254302104,45,45,0,0,0
Knivsta kommun,15.387798827244024,15.387798827244024,27,27,0,0,0
Köpings kommun,34.87034989337335,34.87034989337335,49,49,0,0,0
Kramfors kommun,37.92883793867949,55.9648515654572,59,70,0,0,14985
Kristianstads kommun,7.457496267343198,7.457496267343198,32,32,0,0,0
Kristinehamns kommun,22.67312068180878,36.95953828968599,39,57,0,0,672
Krokoms kommun,27.54824202780049,27.54824202780049,121,121,78,462,1984
Kumla kommun,16.7379748090846,16.7379748090846,27,27,0,0,0
Kungälvs kommun,20.29797794117647,20.29797794117647,33,33,0,0,0
Kungsbacka kommun,21.614750798802422,21.614750798802422,35,35,0,0,0
Kungsörs kommun,26.369879374178915,26.369879374178915,38,38,0,0,0
Laholms kommun,25.445865408492672,25.445865408492672,46,46,0,0,0
Landskrona kommun,19.21788240495137,19.21788240495137,24,24,0,0,0
Laxå kommun,38.83233321567243,49.509707024355805,60,62,0,0,1677
Lekebergs kommun,21.225767529159405,23.784019305536937,32,39,0,0,0
Leksands kommun,33.72109623964309,36.450987890376034,45,55,0,0,45
Lerums kommun,17.37858820620596,17.37858820620596,38,38,0,0,0
Lessebo kommun,28.89712078651685,28.89712078651685,45,45,0,0,0
Lidingö kommun,4.829689172364081,6.324698018828772,13,14,0,0,0
Lidköpings kommun,4.525596484953763,41.36767485822306,27,52,0,0,203
Lilla Edets kommun,23.328927261613693,23.328927261613693,33,33,0,0,0
Lindesbergs kommun,35.14996114996114,35.15017698351031,69,69,0,0,1565
Linköpings kommun,4.9502153608847115,4.9502153608847115,38,38,0,0,0
Ljungby kommun,6.707118105688709,37.25570314755992,36,62,0,0,823
Ljusdals kommun,53.24194059824543,58.30419617376599,98,130,662,1270,14836
Ljusnarsbergs kommun,68.81273601098523,69.22966014418125,80,83,0,461,5826
Lomma kommun,9.024644705495769,9.024644705495769,12,12,0,0,0
Ludvika kommun,58.70059458613675,58.71424659677672,93,93,0,771,24727
Luleå kommun,13.175498036743754,13.20399479966907,66,66,0,0,76
Lunds kommun,4.283928202657121,4.283928202657121,26,26,0,0,0
Lycksele kommun,7.324624699344779,7.324624699344779,66,66,0,0,340
Lysekils kommun,47.08950349883372,47.08950349883372,52,52,0,0,103
Malå kommun,66.87192271735742,66.87192271735742,102,102,2,383,3200
Malmö kommun,2.382794232571462,2.382794232571462,10,10,0,0,0
Malung-Sälens kommun,64.0361216730038,116.47878727236342,99,169,9380,9994,9994
Mariestads kommun,30.451143363429246,30.452240317272803,52,54,0,0,58
Markaryds kommun,40.766229776776576,52.49119393815277,52,60,0,0,8544
Marks kommun,29.705838524126012,29.705838524126012,42,42,0,0,0
Melleruds kommun,43.22664491571506,43.575965198477434,59,59,0,0,1360
Mjölby kommun,28.107072542783584,28.107072542783584,46,46,0,0,0
Mölndals kommun,4.096337030478143,4.096337030478143,16,16,0,0,0
Mönsterås kommun,40.328017701815966,40.328017701815966,64,64,0,0,1353
Mora kommun,5.925820116244705,74.03615407349031,68,135,283,4887,20177
Mörbylånga kommun,13.689960695489974,13.689960695489974,47,47,0,0,0
Motala kommun,35.550911238218745,35.550911238218745,52,52,0,0,168
Mullsjö kommun,26.301913140622815,26.301913140622815,39,39,0,0,0
Munkedals kommun,42.00208471524685,42.00208471524685,62,62,0,0,1164
Munkfors kommun,49.81810897435897,49.81810897435897,56,56,0,0,1626
Nacka kommun,8.578587603790991,8.87581774721127,16,17,0,0,0
Nässjö kommun,16.961230078859668,16.961230078859668,34,34,0,0,0
Nora kommun,29.513184009072866,30.149040733390038,49,54,0,0,52
Norbergs kommun,59.72106620808253,59.72106620808253,64,64,0,0,5781
Nordanstigs kommun,28.970136609128453,28.970136609128453,54,54,0,0,1
Nordmalings kommun,44.26771763392857,44.26771763392857,63,63,0,0,232
Norrköpings kommun,5.769827712074756,5.769827712074756,41,41,0,0,0
Norrtälje kommun,53.38400218493419,53.38424116211188,86,86,0,176,41989
Norsjö kommun,51.09985768500948,51.09985768500948,78,78,0,7,3152
Nybro kommun,29.249923989054423,29.249923989054423,58,58,0,0,21
Nyköpings kommun,5.782631075814398,5.782631075814398,32,32,0,0,0
Nykvarns kommun,12.573093827632333,12.573093827632333,22,22,0,0,0
Nynäshamns kommun,29.68023786071285,29.68023786071285,49,49,0,0,0
Ockelbo kommun,34.328301886792445,35.37015437392795,47,55,0,0,22
Öckerö kommun,17.584052582658348,17.584052582658348,23,23,0,0,0
Ödeshögs kommun,50.682337266844314,50.682337266844314,56,56,0,0,3553
Olofströms kommun,36.230959705860286,36.230959705860286,51,51,0,0,134
Örebro kommun,4.375090252707581,4.375090252707581,36,36,0,0,0
Örkelljunga kommun,44.98562300319489,44.98722044728434,54,54,0,0,1239
Örnsköldsviks kommun,10.29048005043682,10.386003782761415,82,90,0,101,437
Orsa kommun,12.743547418967585,78.58493397358944,58,118,32,6431,6664
Orusts kommun,38.09321545262348,38.09321545262348,58,58,0,0,1041
Osby kommun,40.52456849634582,41.41198880422951,50,55,0,0,266
